id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
9605	Homo	genus	18.798432654854842	20.319241565021834	18.476903199215847	18.67334324032696	18.55664974224148	19.22612780112285	16.977786025849433	17.833024469607953	17.5717630110596	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9606	Homo sapiens	species	18.798432654854842	20.319241565021834	18.476903199215847	18.67334324032696	18.55664974224148	19.22612780112285	16.977786025849433	17.833024469607953	17.5717630110596	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
9895	Bovidae	family	16.89787584854597	16.80389524271354	NA	17.652895376839528	16.99603427554021	NA	NA	15.184781995412218	NA	1.0	NA	1.0	1.0	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
10662	Myoviridae	family	21.995893842484563	22.383597910588446	22.123219048676074	21.977770457352545	21.75478527307307	21.679465954777516	22.06317323117206	22.23324149336411	21.554051807552455	9.0	9.0	8.0	8.0	9.0	9.0	8.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10699	Siphoviridae	family	19.30426753281886	18.610525296452987	18.86256108524561	19.56098786221248	17.703137100308275	19.3885122016294	20.105824126608205	19.46843989219363	19.564262084473683	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	NA	NA	1.0	NA	NA	NA	NA	NA
28108	Alteromonas macleodii	species	24.959364693628142	25.10905157004118	25.55638078682443	24.897039964110526	24.70937983621173	24.648722119642745	24.89058621387221	24.820069090540663	24.82610928075209	57.0	58.0	55.0	57.0	55.0	55.0	54.0	57.0	NA	NA	NA	NA	NA	NA	NA	NA
28211	Alphaproteobacteria	class	32.45352499675047	32.47260372438042	32.34001051451805	32.383976851650196	32.34492266118996	32.590137721632125	32.43409307171302	32.50324592455708	32.53884743054784	6279.0	6281.0	6207.0	6194.0	6262.0	6141.0	6071.0	6144.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0
28216	Betaproteobacteria	class	31.19075572400515	31.208020544769	31.02017560013011	31.186209301306985	31.03290760867191	31.321300484097883	31.16465857509952	31.312091815467817	31.24974933694159	2682.0	2701.0	2671.0	2668.0	2687.0	2650.0	2619.0	2644.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
28221	Deltaproteobacteria	class	24.89536849339184	24.431058043436174	24.766093010867912	24.63534387573479	24.77581035644217	24.949815459336854	24.945188906794076	25.504958767602208	24.903892762966848	46.0	45.0	43.0	41.0	44.0	45.0	41.0	43.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
28883	Caudovirales	order	22.203522956544756	22.485444590411824	22.266401362500403	22.225422569641317	21.839260634437817	21.94770915293262	22.393732974101606	22.43127488477273	21.87802774684135	10.0	10.0	10.0	9.0	10.0	10.0	9.0	9.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
28901	Salmonella enterica	species	28.54025317043584	28.560327832034577	28.514759877042533	28.503965958168937	28.44780269447111	28.594425414734804	28.522308507772056	28.57332484352478	28.598671611652446	520.0	518.0	521.0	523.0	528.0	518.0	506.0	506.0	NA	NA	NA	NA	NA	NA	NA	NA
31953	Bifidobacteriaceae	family	21.184614331193423	21.732670924025022	21.38930783253524	21.05601714448121	21.041383297206295	21.503735496871535	20.883510728274487	20.60498903890568	20.927733047849078	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
31979	Clostridiaceae	family	17.173879049710724	16.0804369882554	15.85961777001995	16.446208727814945	16.59659074027848	17.02634512621977	18.05970884910258	17.72303626876735	17.888696879888837	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
31989	Rhodobacteraceae	family	29.70836031470463	29.695127448935025	29.620401019248423	29.58209798632507	29.624348578148012	29.852544143588357	29.768877157932643	29.635076648919863	29.85921674761951	989.0	990.0	965.0	973.0	992.0	965.0	952.0	973.0	46.0	46.0	47.0	47.0	43.0	44.0	46.0	46.0
32003	Nitrosomonadales	order	25.604630113241278	25.24315615566991	25.65777622509109	26.371154006749794	25.30330146395688	25.408958022281794	25.427169708399813	25.627520117308208	25.449447167716453	72.0	79.0	74.0	79.0	82.0	73.0	76.0	76.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
32033	Xanthomonadaceae	family	29.45426560402752	29.506780153606048	29.349907046344097	29.465117840133097	29.383106592634118	29.53957778512564	29.367100249355115	29.500356484549386	29.508816381656516	906.0	916.0	903.0	914.0	905.0	899.0	885.0	895.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
34003	Paracoccus aminophilus	species	18.935690478364165	18.060890101590623	17.55807162709337	17.448180848303597	21.14828851211933	18.07929153791788	17.91448499141472	18.126576936932636	17.82268845339959	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
34008	Rhodovulum	genus	19.602807673256233	19.310705964538002	19.225308185546382	19.52045831422388	19.454567608948885	20.089742573083143	19.66694423414991	19.601253434739423	19.767339863379032	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
34067	Cycloclasticus	genus	19.948367659382754	18.33881906361975	18.635428345065517	18.61449022872035	19.430402116896534	20.57119342563938	20.849757851004366	20.312466433224724	20.513878883816297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
